,sabor,variedad,servicio,ambiente,precio,higiene,ubicación,1,2,3,4,5,name,average_rating,total_user_ratings
ChIJtx82pHb40YURdEVhuQNLHA4,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,8,19,63,Alberto's,4.5,954
ChIJtzpPhzT80YURfFBvdLz6AN8,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,1,9,22,ANTOJITOS MEXICANOS ADELA,4.6,61
ChIJu7IziDkH0oURrwsuybTpzKI,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,4,7,29,El Yute,4.6,78
ChIJufeRJhsA0oURihuMwEKs2Ao,"{'positive': 8, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,2,6,13,76,San Ángel Inn,4.7,5941
ChIJV4LlAB0C0oURDAvCk8vRpeM,"{'positive': 6, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 2, 'negative': 1}","{'positive': 1, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,7,11,79,Guzina Oaxaca,4.5,987
ChIJv5KO8Uz-0YURvTUyYxZs3pw,"{'positive': 13, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,0,25,83,Los Pumpos,4.5,764
ChIJvQLg2Ar50YUR_M-6l6qNvCU,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,2,6,23,52,El Itakate,4.5,326
ChIJVVVVFfn40YURQWN1neoikzg,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,2,7,25,Fonda Mexicana EL SAUCE,4.6,70
ChIJWZ2zdav40YURFvsU_rU3uaE,"{'positive': 7, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",22,4,3,5,71,Pujol,4.6,3173
ChIJwZyJ2nP_0YURZqiqMcjc-T8,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,4,16,65,Palominos,4.5,1795
ChIJx_X5T2wC0oURftCaX08beck,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,5,15,62,Restaurante Tierra Linda,4.6,854
ChIJX5DIiy8FzoUR_r1rWfBAklM,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,2,2,17,28,EL ASADOR TAQUERIA,4.3,309
ChIJXa73W8r40YUR-d6mdFfIDVM,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 6}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",1,3,6,15,65,Rincón de mi Tierra,4.6,156
ChIJxaXnZgIC0oUR5kwVJF3F_X8,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 7}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,4,5,20,59,Dulce Patria,4.5,1418
ChIJxSUeddX-0YURNIFMA2OAD6I,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}",1,1,6,17,64,Mercado de San Juan,4.5,10936
ChIJXxwZxdX-0YUROe0zLKkXHl4,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,6,20,86,Rica Pancita Anita,4.6,591
ChIJxycAjK7-0YUR1qZv-NWNDYM,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}",1,1,2,19,60,Birria 3 Estrellas,4.5,649
ChIJXzNyxuz40YUR4TDe-9itIMk,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}",1,5,5,14,72,Las Delicias De Jalisco,4.5,730
ChIJxZ-x2B4C0oURqYAbNDQ2gBs,"{'positive': 4, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,1,12,56,La Hacienda de los Morales,4.6,11068
ChIJY0mNVTP50YURiWFsFQWDunk,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,4,30,Quereres,4.9,50
ChIJY0Y_A_8B0oURN4uHr150-YY,"{'positive': 12, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 5}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,6,10,13,55,Chapulín,4.6,1012
ChIJYdJpGA7_0YURju1dQSjo_5Y,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 5}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,5,26,59,La Pizca Comida Mexicana & Gourmet,4.6,193
ChIJ-yom4w0C0oURl96HuBziepk,"{'positive': 11, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 6, 'negative': 2}","{'positive': 0, 'negative': 0}",5,0,2,16,64,Huaraches 5 de Mayo,4.6,1194
ChIJ-Yp5kGf_zYURKrda1G5GMUQ,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,3,21,64,Sylvestre Artz,4.7,253
ChIJZ2lB4Mf-0YUR1xUYsitgvN8,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",4,5,8,22,41,Mercado de Sonora,4.2,56676
ChIJz9WtHqH50YURYyIo8N1otO8,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,2,4,25,Tortas El Volcan,4.6,57
ChIJZ-dNcTr_0YURvT79FclhNi0,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,3,34,Birria Estilo Jalisco - Food Stand,4.6,79
ChIJeaRXkh0A0oUR_h7STrE3yks,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,5,13,69,Las Enchiladas del Parque,4.5,278
ChIJlfF36c3_0YURhdxsSsOr4l4,"{'positive': 12, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,10,13,62,"A darle, que es taco vegano",4.6,365
ChIJU67OTNv_0YURj-nw92FLYDc,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,5,15,69,Pepe Coyotes Coyoacán,4.5,4029
ChIJITgvvy__0YUR0fZG9xzbMO4,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 3, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,4,2,15,81,La Tecla,4.5,534
ChIJ0Z9P0z7_0YURVqrnz-OpFms,"{'positive': 2, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}",1,5,7,12,55,Mercado Roma,4.3,11317
ChIJY3GHMuT_0YURoETJ-mqSwEo,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,5,19,47,MercadoRoma Coyoacán,4.3,1988
ChIJRU2FLk__0YURikrh-RZMung,"{'positive': 10, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,7,20,58,El Pialadero de Guadalajara,4.3,3171
La Cocina Tradicional Mexicana,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,6,19,35,La Cocina Tradicional Mexicana,4.5,104
Candelilla 16,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,2,4,29,Candelilla 16,4.6,73
Antojitos Méxicanos Don Max,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,5,36,Antojitos Méxicanos Don Max,4.7,94
Rico Amanecer,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,3,12,41,Rico Amanecer,4.6,108
El Lago Restaurante,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,1,16,72,El Lago Restaurante,4.5,4939
Guadiana,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,5,11,49,Guadiana,4.6,643
Hanal K'U,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,3,5,19,65,Hanal K'U,4.5,484
Carnitas Don Rafa,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",7,3,8,16,61,Carnitas Don Rafa,4.3,856
El Gnomo,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,2,4,9,61,El Gnomo,4.6,2375
Las Polas del Valle,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,7,19,58,Las Polas del Valle,4.5,911
Mercado Medellín,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 4}","{'positive': 10, 'negative': 1}","{'positive': 0, 'negative': 0}",0,2,6,19,60,Mercado Medellín,4.3,10951
TORTAS AHOGADAS EL CHIFLADERO GDL,"{'positive': 2, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,12,70,TORTAS AHOGADAS EL CHIFLADERO GDL,4.6,389
La Perla Tapatía Azcapotzalco,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,0,3,16,70,La Perla Tapatía Azcapotzalco,4.6,1345
"Las Klauyudas, tlayudas y antojitos oaxaqueños","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,2,5,46,"Las Klauyudas, tlayudas y antojitos oaxaqueños",4.6,87
Restaurante El Cardenal,"{'positive': 39, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 9, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}",3,0,3,30,291,Restaurante El Cardenal,4.7,7123
Tlayudas el Tasajo,"{'positive': 8, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,2,9,16,84,Tlayudas el Tasajo,4.5,1146
Zéfiro,"{'positive': 11, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 5, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,12,89,Zéfiro,4.7,301
Hostal de Los Quesos,"{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 10}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 1}",11,1,9,21,61,Hostal de Los Quesos,4.3,4090
Restaurante El Estanquillo El 32,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,4,8,47,Restaurante El Estanquillo El 32,4.7,113
Barbacoa Renatos,"{'positive': 5, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,3,10,77,Barbacoa Renatos,4.7,209
Piloncillo y Cascabel,"{'positive': 17, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",8,4,7,13,81,Piloncillo y Cascabel,4.6,1204
Los Tacos De Pepe,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 4}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,2,13,23,Los Tacos De Pepe,4.6,73
Quintonil,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,3,4,8,71,Quintonil,4.6,1332
Mexicano Masaryk,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,4,8,74,Mexicano Masaryk,4.7,134
Los Jarochos,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 6}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,6,18,58,Los Jarochos,4.5,2387
Prendes,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,2,17,67,Prendes,4.6,641
Cantina Cuchilleros,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 5}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,9,15,59,Cantina Cuchilleros,4.5,1215
Coyoacan Market,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 5}","{'positive': 6, 'negative': 1}","{'positive': 0, 'negative': 0}",1,1,5,15,53,Coyoacan Market,4.4,29111
Molinillo,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 5, 'negative': 1}","{'positive': 0, 'negative': 0}",3,1,4,20,61,Molinillo,4.5,164
La Imperial Samara Santa Fe,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,4,6,14,39,La Imperial Samara Santa Fe,4.5,705
Carnitas El Amigo Campos,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,5,16,50,Carnitas El Amigo Campos,4.4,304
Limosneros,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 7}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,6,23,79,Limosneros,4.6,1772
Carnes Asadas Mi Rancho,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 0, 'negative': 0}",0,1,4,16,48,Carnes Asadas Mi Rancho,4.5,125
Los Arcos,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 2}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,1,17,72,Los Arcos,4.6,2364
Monte Cristo,"{'positive': 14, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,3,14,69,Monte Cristo,4.6,1625
Pozoleria Las Cazuelas,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,3,17,64,Pozoleria Las Cazuelas,4.5,389
Quesadillas de doña Juanita,"{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,1,9,78,Quesadillas de doña Juanita,4.6,384
Birria El Compadre (Restaurante-Bar),"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 8}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}",6,7,12,20,44,Birria El Compadre (Restaurante-Bar),4.1,274
El Remolkito del Sirloin,"{'positive': 17, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 3}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 3}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",4,1,4,13,76,El Remolkito del Sirloin,4.7,1936
Mercaderes,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 4}","{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}",5,0,1,14,77,Mercaderes,4.6,2131
Escandon Market,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 6}","{'positive': 16, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,12,19,47,Escandon Market,4.2,4143
Las Delicias,"{'positive': 20, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,2,6,62,Las Delicias,4.7,286
El Antojito,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,1,4,El Antojito,4.8,9
Huaraches los portales,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 4, 'negative': 1}","{'positive': 0, 'negative': 0}",0,2,5,17,77,Huaraches los portales,4.6,969
El Rincón Gourmet,"{'positive': 11, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,9,14,62,El Rincón Gourmet,4.5,480
Sahmich,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,6,22,Sahmich,4.6,54
La Guerrerense,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 9}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,4,12,19,70,La Guerrerense,4.4,386
Costa Guadiana,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,4,14,51,Costa Guadiana,4.6,248
San Pedro de los Pinos Market,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,9,27,41,San Pedro de los Pinos Market,4.3,6813
El Balcón del Zócalo,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,11,11,77,El Balcón del Zócalo,4.6,4014
