,sabor,variedad,servicio,ambiente,precio,higiene,ubicación,1,2,3,4,5,name,average_rating,total_user_ratings
ChIJ48KvaD7_0YURhzmZCryLbSw,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 4}","{'positive': 10, 'negative': 1}","{'positive': 0, 'negative': 0}",0,2,6,19,60,Mercado Medellín,4.3,10951
ChIJ4ftOXEH-zYUREp_SkJ49kVI,"{'positive': 2, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,12,70,TORTAS AHOGADAS EL CHIFLADERO GDL,4.6,389
ChIJ6aAgy3740YURlAM6t3ylxuk,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,0,3,16,70,La Perla Tapatía Azcapotzalco,4.6,1345
ChIJ6QlgPHr40YURLu6gEG4Y5m0,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,2,5,46,"Las Klauyudas, tlayudas y antojitos oaxaqueños",4.6,87
ChIJ7w5HFPj_0YURHTyE1LwPB_c,"{'positive': 39, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 9, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}",3,0,3,30,291,Restaurante El Cardenal,4.7,7123
ChIJ7WAfwbv_0YURiSIZGMdRuto,"{'positive': 8, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,2,9,16,84,Tlayudas el Tasajo,4.5,1146
ChIJ9fq-YdH-0YURa3zaK7Gz8lc,"{'positive': 11, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 5, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,12,89,Zéfiro,4.7,301
ChIJa1lZNZ__0YURjDHz4gNWVQc,"{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 10}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 1}",11,1,9,21,61,Hostal de Los Quesos,4.3,4090
ChIJASya8GX50YURN0r_0oVNXTU,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,4,8,47,Restaurante El Estanquillo El 32,4.7,113
ChIJBa69bJkC0oURgUnOYp0Jiuw,"{'positive': 5, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,3,10,77,Barbacoa Renatos,4.7,209
